action,centroid,count,crest,fft_kurtosis,fft_mean,fft_skewness,fft_variance,flatness,item,kurtosis,maximum,mean,mean_diff,median,minimum,path,percentile_25,percentile_75,rolloff,shelf_type,skewness,spread,standard_dev,variance
drop,359.05179314192696,10500.0,0.1430249029821859,3570.8745747635066,28524.391613681884,55.46225604662504,105833394754.5788,0.1355666155513071,butter,-0.9425326263072189,4094.0,2040.2377142857142,0.00314315649109439,2028.0,50.0,.\data\data_butter_shelf_wood_drop276.csv,1153.0,2876.0,665.5875071414969,wood,0.05233164472077483,677.657624723019,1354.1897830220462,1833829.9684412968
drop,353.1583002691155,14000.0,0.15420266183494624,5334.652723371548,26378.631495150872,69.00087217569046,132496377197.00067,0.14125262169201228,butter,-0.12089555252562167,4094.0,2034.1181428571429,0.001571540824344596,2029.0,50.0,.\data\data_butter_shelf_wood_drop281.csv,1720.0,2377.0,633.4809312955292,wood,0.030093776977976938,704.0873499979115,1113.5096188006794,1239903.6711616341
drop,402.99735011807684,16000.0,0.12342110139636552,5896.860141038588,33062.199309529846,71.91823170338971,154907021943.6052,0.1764523836710894,butter,-0.4382630241369423,4094.0,2040.5415625,-0.001125070316894806,2030.0,49.0,.\data\data_butter_shelf_wood_drop286.csv,1580.0,2481.0,714.9106361704787,wood,0.059720421785267506,802.8315293569764,1193.1874032538842,1423696.1792837474
drop,494.49578204798473,20500.0,0.11923057478405068,7898.823801943691,34231.51226951126,84.06240638115418,194281992090.11578,0.22444578792554998,butter,-0.20301450389007858,4094.0,2040.9205365853659,0.0005853944094833894,2022.5,49.0,.\data\data_butter_shelf_wood_drop291.csv,1567.0,2487.0,980.8799141547166,wood,0.09472238510027164,938.0015652290626,1097.5458119304453,1204606.8092860603
drop,331.1596209639485,10000.0,0.18518254341898732,4030.8347284761953,21903.701550258727,60.68925236700126,91461825617.14143,0.14099122540151862,butter,0.20550297510782523,4094.0,2028.4972,-0.0032003200320032004,2030.0,49.0,.\data\data_butter_shelf_wood_drop296.csv,1559.75,2450.25,558.8882223555289,wood,0.03384249109862233,710.9440443207592,983.1039977231336,966493.470339207
drop,241.42441128493587,16500.0,0.16577055254604703,6139.87468791538,24572.427735065576,74.24761357413963,158817250741.64328,0.07909568729452472,butter,-0.3804208157901696,4094.0,2036.9393333333333,0.0028486574943935995,2035.0,49.0,.\data\data_butter_shelf_wood_drop301.csv,1561.0,2483.25,390.2557265785965,wood,0.05731373105860079,528.742454538343,1168.2860390343246,1364892.2690025116
drop,372.843377630802,7500.0,0.14268428915905573,2601.192006835261,28872.135334016708,47.34433726292553,76202906419.72931,0.15744588001350932,butter,-0.9401527366413136,4094.0,2060.349333333333,0.004667288971862915,2037.0,49.0,.\data\data_butter_shelf_wood_drop306.csv,1169.5,2935.25,665.1559584110904,wood,0.042438965639622364,746.0803313792097,1335.8265094544947,1784432.4633613792
drop,424.86764053842126,17000.0,0.11715318707247224,6450.90925591547,34927.066862000655,75.6519372389699,163092156307.74048,0.18351310912955887,butter,-0.28630989100359017,4094.0,2046.149294117647,0.004764986175657392,2032.0,49.0,.\data\data_butter_shelf_wood_drop31.csv,1650.75,2460.0,778.1437477943771,wood,0.044002326349492034,806.9980633036686,1137.1782473312862,1293174.366203456
drop,280.7111236073738,12000.0,0.1484303660779268,4471.800893331644,27481.208417650836,62.829849429159275,115434621403.45071,0.10844119447952683,butter,-0.47574561795686243,4094.0,2039.8628333333334,0.0019168264022001833,2045.0,47.0,.\data\data_butter_shelf_wood_drop311.csv,1472.75,2644.0,442.4262622896184,wood,-0.0005700940325822582,608.4230037683593,1167.1045447760084,1362133.0184368137
drop,345.69876640210947,15000.0,0.13684912353414827,5793.073075422534,29751.10184530453,71.86786786187552,141210943095.35574,0.15699004604976102,butter,-0.12616225784387547,4094.0,2035.9775333333334,-0.0008667244482965531,2032.0,48.0,.\data\data_butter_shelf_wood_drop316.csv,1612.0,2456.0,532.5956539128116,wood,0.07166095974693226,767.3001931913178,1088.1196421896502,1184004.3557189323
