action,centroid,count,crest,fft_kurtosis,fft_mean,fft_skewness,fft_variance,flatness,item,kurtosis,maximum,mean,mean_diff,median,minimum,path,percentile_25,percentile_75,rolloff,shelf_type,skewness,spread,standard_dev,v2_N,v2_count,v2_kurtosis,v2_max,v2_maximum,v2_mean,v2_mean_diff,v2_median,v2_minimum,v2_percentile_25,v2_percentile_75,v2_skewness,v2_standard_dev,v2_variance,variance
drop,608.1857478041891,100.0,0.5538140980815822,43.19886227053421,3.6810681573402544,6.628485207669006,207.21810176316757,0.2503874597545084,butter,5.216018591365911,2.0,1.0397,0.0,1.03,0.0,labeled_acce_data\data_butter_shelf_wood_drop10026.csv,0.97,1.1025,1176.4705882352941,wood,-0.5456588762253093,1013.3331349134791,0.3012849753367007,14,24.0,14.59444847699457,12.450117893824617,2.837313726368942,-0.18962689725049744,-0.018777778766853097,0.0,-8.25552350022664,0.0,0.0,-3.32366220153393,1.9215228309426402,3.692249989833818,0.09077263636363633
drop,608.1857478041891,100.0,0.5538140980815822,43.19886227053421,3.6810681573402544,6.628485207669006,207.21810176316757,0.2503874597545084,butter,5.216018591365911,2.0,1.0397,0.0,1.03,0.0,labeled_acce_data\data_butter_shelf_wood_drop10027.csv,0.97,1.1025,1176.4705882352941,wood,-0.5456588762253093,1013.3331349134791,0.3012849753367007,14,24.0,14.59444847699457,12.450117893824617,2.837313726368942,-0.18962689725049744,-0.018777778766853097,0.0,-8.25552350022664,0.0,0.0,-3.32366220153393,1.9215228309426402,3.692249989833818,0.09077263636363633
drop,755.226365865334,60.0,0.47541215546985005,22.668026713156664,4.313404968247014,4.828089186863916,124.52329422242825,0.36876371994838353,butter,1.875697169375655,2.46,1.0594999999999997,-0.0013559322033898317,1.04,0.0,labeled_acce_data\data_butter_shelf_wood_drop10031.csv,0.9275,1.1575,1774.1935483870968,wood,0.24710636392929614,1069.0045879164827,0.4728973981240986,8,14.0,9.917357077748083,12.954509760605927,12.152738748660859,1.1414749105071291,-0.052269732194228494,0.0,-1.1174398894054802,0.0,0.0,3.086016373814085,3.3895242480038723,11.488874627806215,0.22363194915254223
drop,755.226365865334,60.0,0.47541215546985005,22.668026713156664,4.313404968247014,4.828089186863916,124.52329422242825,0.36876371994838353,butter,1.875697169375655,2.46,1.0594999999999997,-0.0013559322033898317,1.04,0.0,labeled_acce_data\data_butter_shelf_wood_drop10032.csv,0.9275,1.1575,1774.1935483870968,wood,0.24710636392929614,1069.0045879164827,0.4728973981240986,8,14.0,9.917357077748083,12.954509760605927,12.152738748660859,1.1414749105071291,-0.052269732194228494,0.0,-1.1174398894054802,0.0,0.0,3.086016373814085,3.3895242480038723,11.488874627806215,0.22363194915254223
drop,892.3232517696468,60.0,0.464838200313911,22.315639496624375,2.8792536671298277,4.78960145425071,53.250578698795245,0.4143799479855868,butter,0.3050863724260364,1.48,0.6914999999999999,-0.0025423728813559307,0.6699999999999999,0.0,labeled_acce_data\data_butter_shelf_wood_drop10036.csv,0.5,0.8499999999999999,2258.064516129032,wood,0.3174376927121196,1246.511341185417,0.3243602569230491,8,14.0,6.518902143114905,9.864889511907778,2.739704153909968,0.03501192832020721,-0.049748267433746454,0.0,-3.6158938079354863,0.0,0.0,-1.1953381603990234,1.2860083671936142,1.6538175204919858,0.1052095762711864
drop,892.3232517696468,60.0,0.464838200313911,22.315639496624375,2.8792536671298277,4.78960145425071,53.250578698795245,0.4143799479855868,butter,0.3050863724260364,1.48,0.6914999999999999,-0.0025423728813559307,0.6699999999999999,0.0,labeled_acce_data\data_butter_shelf_wood_drop10037.csv,0.5,0.8499999999999999,2258.064516129032,wood,0.3174376927121196,1246.511341185417,0.3243602569230491,8,14.0,6.518902143114905,9.864889511907778,2.739704153909968,0.03501192832020721,-0.049748267433746454,0.0,-3.6158938079354863,0.0,0.0,-1.1953381603990234,1.2860083671936142,1.6538175204919858,0.1052095762711864
drop,900.9581775367242,60.0,0.47830561230422136,23.053371260819635,4.181426976680065,4.87978390444718,117.65669279344854,0.41494227393142735,butter,1.1027777813172173,2.24,1.033333333333333,-0.00016949152542372896,1.04,0.0,labeled_acce_data\data_butter_shelf_wood_drop10041.csv,0.8425,1.275,2258.064516129032,wood,-0.11114594991239884,1217.5361271929103,0.44163665818533143,10,14.0,11.477133541350266,10.916253843875303,2.5812140422350947,-0.43563198652079277,-0.018342850695910684,0.0,-10.509068935166518,0.0,0.0,-3.1910816874972845,3.0201880824220106,9.121536053203942,0.19504293785310725
drop,900.9581775367242,60.0,0.47830561230422136,23.053371260819635,4.181426976680065,4.87978390444718,117.65669279344854,0.41494227393142735,butter,1.1027777813172173,2.24,1.033333333333333,-0.00016949152542372896,1.04,0.0,labeled_acce_data\data_butter_shelf_wood_drop10042.csv,0.8425,1.275,2258.064516129032,wood,-0.11114594991239884,1217.5361271929103,0.44163665818533143,10,14.0,11.477133541350266,10.916253843875303,2.5812140422350947,-0.43563198652079277,-0.018342850695910684,0.0,-10.509068935166518,0.0,0.0,-3.1910816874972845,3.0201880824220106,9.121536053203942,0.19504293785310725
drop,512.461250920794,80.0,0.5897554978019961,32.66826749968842,2.4838734929187396,5.76704179594496,86.69761650940208,0.16405668367138532,butter,2.443226873152683,1.36,0.7507500000000004,0.0,0.75,0.0,labeled_acce_data\data_butter_shelf_wood_drop10046.csv,0.7075,0.82,975.609756097561,wood,-0.3091464455233759,896.807389000398,0.2517672976220278,14,19.0,14.421186266187313,8.487327185212191,6.447490558394241,0.2213668894940053,-0.006959392281115997,0.0,-2.0823375545795955,0.0,0.0,3.4335056067066945,1.6032801257630955,2.5705071616669275,0.06338677215189872
drop,512.461250920794,80.0,0.5897554978019961,32.66826749968842,2.4838734929187396,5.76704179594496,86.69761650940208,0.16405668367138532,butter,2.443226873152683,1.36,0.7507500000000004,0.0,0.75,0.0,labeled_acce_data\data_butter_shelf_wood_drop10047.csv,0.7075,0.82,975.609756097561,wood,-0.3091464455233759,896.807389000398,0.2517672976220278,14,19.0,14.421186266187313,8.487327185212191,6.447490558394241,0.2213668894940053,-0.006959392281115997,0.0,-2.0823375545795955,0.0,0.0,3.4335056067066945,1.6032801257630955,2.5705071616669275,0.06338677215189872
drop,1315.3692662008932,100.0,0.4203808550834915,44.92451751192603,4.879328897792339,6.810176834915858,201.1870936303512,0.5611086370819517,butter,20.178312554905023,3.17,1.0461000000000005,0.0005050505050505055,1.04,0.0,labeled_acce_data\data_butter_shelf_wood_drop10051.csv,0.9874999999999999,1.0724999999999998,3529.4117647058824,wood,2.206797713791026,1553.8883306079176,0.32674981934875574,14,24.0,16.70930435601372,8.84076149593814,8.691968295087992,0.1710017821003301,-0.032211811951793005,0.0,-3.5585192443627234,0.0,0.0,3.452218104691547,1.9787064859721932,3.9152793576284255,0.10676544444444451
