shelf_type,item,kurtosis,maximum,mean,mean_diff,median,minimum,percentile_25,percentile_75,skewness,standard_dev,variance,count,action
wood,chips,4.9802876951328106,0.04485,0.0002976912429923848,2.837918339046615e-08,0.00034500000000000004,-0.047011000000000004,-0.00304425,0.0037450000000000005,-0.021859116692110856,0.006993207723711254,4.890495426697473e-05,102400.0,noise
wood,chips,1.9824506602371885,0.037967,0.0002847056015940427,-9.183683434408548e-08,0.000304,-0.02732,-0.0032630000000000003,0.003686,0.1845729967107042,0.005926957313716085,3.512882299861259e-05,102400.0,noise
wood,chips,0.5383464465915329,0.036902,0.0002831195309170914,-7.382884598482113e-08,0.000227,-0.034638,-0.004639,0.005184,0.010565132401982872,0.00793606540312889,6.298113408273932e-05,102400.0,noise
wood,chips,2.416767339346209,0.030737999999999998,0.000279699069321091,-4.265666656901055e-08,0.000269,-0.029142,-0.002611,0.003125,-0.008624165091322949,0.00502095544887678,2.520999361960543e-05,102400.0,noise
wood,chips,90.46693952549367,0.17368,0.0002502128734203108,1.5856600162110882e-07,0.0002,-0.18499000000000002,-0.003041,0.003452,-0.6860129892442569,0.009250009046412638,8.556266735871563e-05,102400.0,noise
wood,chips,22.300276022147102,0.15792,0.0003411275747619154,3.485776228283508e-07,0.000205,-0.16535,-0.0047695,0.00534725,-0.23131568997880164,0.01812751209297629,0.0003286066946810016,102400.0,noise
wood,chips,11.730740339588875,0.14185999999999999,0.00029589782493251985,1.4101700211916478e-07,0.000443,-0.14742,-0.00565525,0.00647,0.030035973256907687,0.021095068038626753,0.0004450018955542919,102400.0,noise
wood,chips,12.656395948517146,0.089238,0.00027271586610566444,-2.5420170118849375e-07,0.000357,-0.10332000000000001,-0.003967,0.004615,-0.27500004866294464,0.010003146116562372,0.00010006293222929685,102400.0,noise
wood,chips,7.010167265396239,0.063139,0.00027367280944541155,5.2119649605953755e-08,0.00018,-0.06867899999999999,-0.004164,0.0046700000000000005,-0.3155116323417922,0.010025366540027206,0.00010050797426189706,102400.0,noise
wood,chips,2.176789531721128,0.038266,0.0003063425783838877,2.0615435697615964e-08,0.00033999999999999997,-0.037299,-0.003639,0.004218,0.0009904139452370914,0.007712808181200535,5.9487410039993904e-05,102400.0,noise
wood,chips,24.098034409312135,0.16339,0.00028221630496142456,8.723718005058734e-08,0.00016150000000000002,-0.15750999999999998,-0.004799,0.005101,-0.00533702396853439,0.013362179652933024,0.0001785478450772573,102400.0,noise
wood,chips,7.537557041290727,0.083152,0.00029401193125869153,1.8341975995859424e-07,0.000331,-0.072296,-0.004149,0.004799,0.11636351164992298,0.008953938661313105,8.017301755055753e-05,102400.0,noise
wood,chips,43.80639869411391,1.5642,0.00022319297486952987,-5.982480297659887e-08,0.00043200000000000004,-1.5009,-0.003595,0.004232,-0.0016041842455098425,0.1586142341626318,0.02515847527899819,102400.0,pickup
wood,chips,25.168510833724625,1.2349,0.00013069609738828079,-3.778357210519837e-08,0.000149,-1.4671,-0.0178325,0.01622175,-0.22091489819964966,0.11639636569500987,0.01354811394700647,102400.0,pickup
wood,chips,44.80135539581067,1.5587,0.00030507985045087307,-1.1005966855144921e-07,0.0003045,-1.4914,-0.005335,0.005993,-0.045502152975447005,0.14583216634142407,0.021267020739832783,102400.0,pickup
wood,chips,59.15152892525785,1.1717,0.00034964300329609925,2.4463129522746268e-08,0.000337,-1.1044,-0.00543625,0.006462000000000001,-0.11453060849898107,0.07740000782785461,0.005990761211751956,102400.0,pickup
wood,chips,38.18704173409245,0.5745600000000001,0.0002911044346219734,-3.12307737380241e-08,0.000386,-0.59977,-0.004158,0.004874,-0.3718373030751608,0.05003730768144347,0.002503732160007441,102400.0,pickup
wood,chips,26.821285425833572,0.68903,0.0002925746118544919,-2.567798513657305e-07,0.00021899999999999998,-0.53997,-0.005855,0.00617425,0.2512685586594964,0.052254159719308,0.002730497207970951,102400.0,pickup
wood,cookies,27.10840405383776,1.5824,0.0002808736779124861,6.199279289837052e-08,0.00011599999999999999,-1.5282,-0.003944,0.004358,0.25551139213963653,0.23412950229288168,0.05481662384391249,102400.0,drop
wood,cookies,39.169568360552965,1.5538,0.0002789478049418973,-2.905301809587857e-08,0.00034750000000000004,-1.4857,-0.003826,0.00442525,-0.2088593564580459,0.1288405311387872,0.016599882464124797,102400.0,drop
wood,cookies,31.850749590565982,1.5929,0.0002660042927802676,3.8183966640299285e-08,0.00031800000000000003,-1.5239,-0.004999,0.005494,0.6877936056478479,0.21888827861755006,0.04791207851615423,102400.0,drop
wood,cookies,21.602106450946025,1.5985,0.0002779690648980483,-2.5293215754059613e-08,0.000218,-1.5197,-0.0037329999999999998,0.004452,0.24025109258079047,0.27215574724222763,0.07406875075697529,102400.0,drop
wood,cookies,18.457055595695984,1.6053,0.00028215805605205353,4.863328743444377e-08,0.000321,-1.5213,-0.0047020000000000005,0.00529025,0.1757603722597444,0.304680145050284,0.09282999078786211,102400.0,drop
wood,cookies,12.902340132037331,0.044478,0.00016634913669785203,5.617242355882552e-08,0.000264,-0.035094,-0.002283,0.0027600000000000003,-0.10737140176030913,0.005239699622689794,2.7454452136015573e-05,102400.0,noise
